,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
342,Makakilo City,20,US,1560443614,78,21.35,-158.09,78.8,3.36
343,Padang,100,ID,1560443616,58,-0.92,100.36,84.32,4.61
344,Kaoma,0,ZM,1560443617,41,-14.8,24.8,62.54,6.42
345,Colac,63,AU,1560443618,97,-38.34,143.59,48.99,1.01
346,Kangalassy,75,RU,1560443620,81,62.35,129.97,44.6,6.71
347,Alamosa,1,US,1560443621,39,37.47,-105.87,70.0,10.18
348,Komsomolskiy,97,RU,1560443622,83,67.55,63.78,30.86,11.27
349,Batsfjord,0,NO,1560443623,75,70.63,29.72,44.6,13.87
350,La Rioja,63,AR,1560443624,90,-29.41,-66.86,59.48,8.05
351,Hammerfest,0,NO,1560443626,70,70.66,23.68,46.4,12.75
352,Naliya,89,IN,1560443627,55,23.26,68.83,90.44,25.52
353,Mosquera,75,CO,1560443420,67,4.71,-74.23,62.6,4.7
354,Storm Lake,1,US,1560443404,39,42.64,-95.21,66.99,3.36
355,Chimore,100,BO,1560443630,60,-16.98,-65.13,82.88,2.8
356,La Ronge,75,CA,1560443631,93,55.1,-105.3,55.4,10.29
357,Maniago,20,IT,1560443633,20,46.17,12.71,87.01,10.29
358,Lagoa,20,PT,1560443634,60,37.14,-8.45,69.8,18.34
359,Sept-Iles,75,CA,1560443635,36,50.2,-66.38,68.0,10.29
360,Vanavara,54,RU,1560443637,71,60.35,102.28,60.02,4.99
361,Port Hardy,90,CA,1560443638,93,50.7,-127.42,53.6,3.36
362,Rudnyy,0,KZ,1560443367,46,52.96,63.12,53.6,13.42
363,Nova Vicosa,47,BR,1560443640,78,-17.89,-39.37,78.56,6.33
364,Iqaluit,90,CA,1560443641,80,63.75,-68.52,41.0,4.7
365,Colon,1,US,1560443642,37,41.3,-96.61,73.99,6.93
366,Anage,40,BR,1560443644,57,-14.61,-41.14,75.2,17.22
367,Monterey,75,US,1560443488,77,36.6,-121.89,62.6,5.82
368,Newport,100,GB,1560443644,100,51.59,-3.0,60.01,14.99
369,Narsaq,20,GL,1560443647,38,60.91,-46.05,59.0,8.05
370,Bayir,20,TR,1560443648,31,37.27,28.22,91.4,12.75
371,Usinsk,100,RU,1560443650,88,66.0,57.56,35.0,19.84
